Date,Open_Yahoo,High_Yahoo,Low_Yahoo,Close_Yahoo,Volume_Yahoo,Open_Alpha,High_Alpha,Low_Alpha,Close_Alpha,Volume_Alpha,Open_Diff,High_Diff,Low_Diff,Close_Diff,Volume_Diff,Status
2026-02-18,398.13,402.56,396.32,399.6,23223400,398.13,402.56,396.32,399.6,23223417,0.0,0.0,0.0,0.0,17,Match
2026-02-19,400.69,404.43,396.67,398.46,28234000,400.69,404.43,396.67,398.46,28234001,0.0,0.0,0.0,0.0,1,Match
2026-02-20,396.11,400.12,395.16,397.23,34015200,396.11,400.1159,395.16,397.23,34015249,0.0,0.004099999999993997,0.0,0.0,49,Match
2026-02-23,395.0,395.36,383.1,384.47,43238300,395.0,395.36,383.1,384.47,43238273,0.0,0.0,0.0,0.0,27,Match
2026-02-24,384.14,389.36,381.71,389.0,33884700,384.14,389.36,381.71,389.0,33884653,0.0,0.0,0.0,0.0,47,Match
2026-02-25,390.53,401.47,390.16,400.6,43625500,390.525,401.47,390.16,400.6,43625483,0.0049999999999954525,0.0,0.0,0.0,17,Match
2026-02-26,404.71,407.49,398.74,401.72,34405900,404.71,407.49,398.74,401.72,34405869,0.0,0.0,0.0,0.0,31,Match
2026-02-27,390.88,396.82,389.88,392.74,51367200,390.88,396.82,389.88,392.74,51367196,0.0,0.0,0.0,0.0,4,Match
2026-03-02,392.86,401.19,390.63,398.55,35474900,392.855,401.19,390.63,398.55,35474907,0.0049999999999954525,0.0,0.0,0.0,7,Match
2026-03-03,393.14,406.7,392.67,403.93,38199200,393.14,406.7,392.67,403.93,38199209,0.0,0.0,0.0,0.0,9,Match
2026-03-04,401.27,411.03,400.31,405.2,35808000,401.265,411.0326,400.31,405.2,35807990,0.0049999999999954525,0.0026000000000294676,0.0,0.0,10,Match
2026-03-05,404.42,411.61,404.4,410.68,39001300,404.42,411.61,404.4,410.68,39001315,0.0,0.0,0.0,0.0,15,Match
2026-03-06,409.2,413.05,408.51,408.96,31123900,409.2,413.05,408.5101,408.96,31123859,0.0,0.0,0.00010000000003174137,0.0,41,Match
2026-03-09,404.92,410.21,403.5,409.41,30131900,404.915,410.21,403.5,409.41,30131854,0.0049999999999954525,0.0,0.0,0.0,46,Match
2026-03-10,410.03,410.2,402.93,405.76,31706400,410.03,410.2,402.93,405.76,31706375,0.0,0.0,0.0,0.0,25,Match
2026-03-11,405.57,409.01,401.59,404.88,25512100,405.57,409.01,401.59,404.88,25512139,0.0,0.0,0.0,0.0,39,Match
2026-03-12,404.63,406.12,401.71,401.86,27263900,404.63,406.12,401.71,401.86,27263886,0.0,0.0,0.0,0.0,14,Match
2026-03-13,401.0,404.8,394.25,395.55,26848000,401.0,404.8,394.25,395.55,26848000,0.0,0.0,0.0,0.0,0,Match
2026-03-16,398.07,400.63,394.79,399.95,27733700,398.07,400.63,394.79,399.95,27733721,0.0,0.0,0.0,0.0,21,Match
2026-03-17,400.27,404.4,397.75,399.41,26228300,400.27,404.4,397.745,399.41,26228279,0.0,0.0,0.0049999999999954525,0.0,21,Match
2026-03-18,397.13,398.0,391.0,391.79,25908500,397.125,398.0,391.0,391.79,25908484,0.0049999999999954525,0.0,0.0,0.0,16,Match
2026-03-19,390.1,392.49,387.06,389.02,25138800,390.1,392.49,387.06,389.02,25138772,0.0,0.0,0.0,0.0,28,Match
2026-03-20,386.79,387.0,380.12,381.87,50853200,386.79,387.0,380.12,381.87,50853154,0.0,0.0,0.0,0.0,46,Match
2026-03-23,383.9,387.21,381.68,383.0,29680100,383.9,387.21,381.68,383.0,29680059,0.0,0.0,0.0,0.0,41,Match
2026-03-24,382.36,382.47,371.85,372.74,42733600,382.36,382.47,371.85,372.74,42733625,0.0,0.0,0.0,0.0,25,Match
2026-03-25,376.92,377.06,369.63,371.04,31181200,376.92,377.06,369.63,371.04,31181163,0.0,0.0,0.0,0.0,37,Match
2026-03-26,370.82,374.72,365.19,365.97,36836600,370.815,374.7199,365.19,365.97,36836574,0.0049999999999954525,0.00010000000003174137,0.0,0.0,26,Match
2026-03-27,361.9,362.45,356.51,356.77,37883400,361.9,362.45,356.51,356.77,37883400,0.0,0.0,0.0,0.0,0,Match
2026-03-30,361.9,365.36,356.28,358.96,44797000,361.895,365.36,356.28,358.96,44797002,0.0049999999999954525,0.0,0.0,0.0,2,Match
2026-03-31,364.55,372.9,363.07,370.17,45244400,364.55,372.9,363.07,370.17,45244365,0.0,0.0,0.0,0.0,35,Match
